,channel_name,category,category_ID,length_of_channel_description,age_of_channel,channel_publishe_year,channel_publishe_month,subscriber_count,views,total_videos,single_playlist_id
0,Brave Wilderness,Pets & Animals,15,648,2981,2014,9,20500000,4733359791,729,UU6E2mP01ZLH_kbAyeazCNdg
1,That Little Puff,Pets & Animals,15,850,799,2020,8,15700000,14002123971,612,UUlFN9LShD_Pv0wnSeUKbUZw
2,The Dodo,Pets & Animals,15,280,3152,2014,3,12500000,8303991446,7184,UUINb0wqPz-A0dV9nARjJlOQ
3,Maymo,Pets & Animals,15,476,5851,2006,10,11400000,4976000019,499,UUC7tqA6lA2QRw4BdrAEKFxg
4,Joey Graceffa,Pets & Animals,15,255,4759,2009,10,9420000,2080456919,1859,UUGCPAOQDZa_TTTXDr5byjww
5,AaronsAnimals,Pets & Animals,15,236,2824,2015,2,7530000,2438384703,95,UUNo5PGwGmfnEprEUUb9AGgw
6,ViralHog,Pets & Animals,15,839,2998,2014,8,7080000,10365597976,35522,UU3339WgBDKIcxTfywuSmG8w
7,Animals Home,Pets & Animals,15,333,860,2020,6,6970000,4516313111,671,UUth6n_FHj9XBqGNuuVgcizA
8,Boram Tube PRT,Pets & Animals,15,0,4663,2010,1,6650000,2124088765,412,UUKwdrlLDx6A4RVXbdMKNk5w
9,Life of Sammie & Summer,Pets & Animals,15,0,5429,2007,12,6320000,1168102085,150,UUI8FQkQ-Iv73GZcsJ-6pNWw
10,Animal Planet,Pets & Animals,15,355,5744,2007,2,5430000,2507304134,5216,UUkEBDbzLyH-LbB2FgMoSMaQ
11,Jacob Colvin,Pets & Animals,15,11,1615,2018,6,5220000,1545108488,377,UUUw4K8hh4No3ks8wxfqj-uQ
12,Animal HT,Pets & Animals,15,1,492,2021,7,5200000,2328670976,160,UUqVXYi_LeGx2-eqH0G6wqaQ
13,Kritter Klub,Pets & Animals,15,370,1620,2018,5,5170000,2180352644,2442,UU6zbH1Z4G32bBV9wyK6ikPA
14,Hope For Paws - Official Rescue Channel,Pets & Animals,15,983,5897,2006,9,5160000,1402608888,622,UUdu8QrpJd6rdHU9fHl8J01A
15,JayPrehistoricPets,Pets & Animals,15,428,5504,2007,10,4260000,2307182571,1821,UUxmpUZtj2j93UuFALWE1q4w
16,Catch Em All Fishing with Zak Catch em,Pets & Animals,15,324,2405,2016,4,3940000,967912165,888,UU7MCFUG5oKKsfVDl7gT7BRA
17,Louie The Beagle,Pets & Animals,15,310,3662,2012,10,3800000,1226104054,562,UUZ-oMIRggrNuzsWLtNFXBXw
18,zefrank1,Pets & Animals,15,168,5951,2006,7,3790000,624607336,206,UUVpankR4HtoAVtYnFDUieYA
19,pets swag,Pets & Animals,15,201,644,2021,1,3850000,1349763546,3106,UUZ_r5HesKAr9EJInthnPSoA
20,Zak George’s Dog Training Revolution,Pets & Animals,15,683,5906,2006,9,3590000,277481310,576,UUZzFRKsgVMhGTxffpzgTJlQ
21,Aww Animals,Pets & Animals,15,289,1193,2019,8,3580000,1085757249,116,UU8hC-augAnujJeprhjI0YkA
22,The MARINS,Pets & Animals,15,107,3272,2013,11,3350000,516522429,304,UUMVxGzgsFscP0mtAVDyzTGQ
23,Tiger Productions,Pets & Animals,15,985,3673,2012,10,3300000,1363453550,578,UUKy3MG7_If9KlVuvw3rPMfw
24,Brodie That Dood,Pets & Animals,15,115,995,2020,2,3250000,1428863963,334,UU5wEWgN1dOUR6SLMOO-CuEg
25,Life Of Big Cat,Pets & Animals,15,840,2991,2014,8,3130000,797731000,106,UUV0zo6DvLdckCR_PKY5OCpA
26,Exotics Lair,Pets & Animals,15,683,2645,2015,8,3010000,650724853,795,UUJIW-bpoAsZY5vnsEShgTSw
