,Category,Category_ID,Avg_length_videos_title,Avg_length_videos_description,Avg_length_of_tags,liveBroadcastContent,Avg_videoviews,Avg_videolikes,Avg_videofavors,Avg_videocomments
0,Pets & Animals,15,36.98,1661.56,29.42,none,2821030.26,40870.6,0.0,2142.22
1,Pets & Animals,15,70.84,1.34,0.0,none,17767486.52,861790.46,0.0,1673.42
2,Pets & Animals,15,64.78,627.9,13.72,none,455428.66,17520.54,0.0,719.18
3,Pets & Animals,15,84.56,1875.66,11.9,none,1755611.34,4763.86,0.0,95.1
4,Pets & Animals,15,47.54,589.46,19.96,none,665358.28,32765.54,0.0,1754.48
5,Pets & Animals,15,21.92,1065.7,19.64,none,39894250.06,303369.0,0.0,7632.9
6,Pets & Animals,15,45.78,702.54,1.0,none,43570.7,1714.58,0.0,50.72
7,Pets & Animals,15,48.75555555555553,110.66666666666669,5.4222222222222225,none,459606.6888888889,10471.955555555556,0.0,54.9111111111111
8,Pets & Animals,15,61.18,121.22,22.02,none,77007.14,348.34,0.0,0.0
9,Pets & Animals,15,50.76,390.42,36.74,none,12201507.58,32888.98,0.0,464.42
10,Pets & Animals,15,65.88,475.54,13.78,none,101346.44,2348.9,0.0,128.34
11,Pets & Animals,15,41.6,129.38,10.98,none,966981.54,54992.14,0.0,624.26
12,Pets & Animals,15,89.52,228.92,0.94,none,10123870.52,43440.08,0.0,159.2
13,Pets & Animals,15,69.24,826.58,26.62,none,59205.24,2014.16,0.0,112.54
14,Pets & Animals,15,68.28,1228.38,0.0,none,252390.88,17611.6,0.0,628.06
15,Pets & Animals,15,38.52,1122.02,18.18,none,1530939.42,33917.96,0.0,243.18
16,Pets & Animals,15,56.32,318.04,39.96,none,139676.16,3328.84,0.0,248.38
17,Pets & Animals,15,44.72,897.32,28.76,none,705292.4,2311.32,0.0,25.14
18,Pets & Animals,15,28.5,1306.66,2.52,none,3680474.86,148828.6,0.0,5585.76
19,Pets & Animals,15,50.44,418.38,0.0,none,1728292.14,138242.18,0.0,1341.88
20,Pets & Animals,15,73.68,415.52,1.36,none,23447.56,786.12,0.0,48.62
21,Pets & Animals,15,66.78,977.24,20.1,none,3562218.98,22459.68,0.0,803.84
22,Pets & Animals,15,29.92682926829268,13.219512195121947,0.24390243902439024,none,36154.170731707316,755.8780487804878,0.0,3.5121951219512195
23,Pets & Animals,15,49.16,788.7,22.66,none,19928.26,244.5,0.0,15.76
24,Pets & Animals,15,77.86,8.66,0.28,none,1154177.74,85734.7,0.0,1014.16
25,Pets & Animals,15,96.54,935.56,26.0,none,217180.04,636.56,0.0,14.66
26,Pets & Animals,15,49.24,732.64,19.34,none,93221.84,3680.34,0.0,281.42
27,Pets & Animals,15,58.4,638.38,16.58,none,514504.5,40540.34,0.0,504.84
28,Pets & Animals,15,60.6,1095.28,14.0,none,19989.16,1085.92,0.0,25.68
29,Pets & Animals,15,46.02,627.02,20.52,none,598713.66,6159.42,0.0,270.14
30,Pets & Animals,15,41.32,2013.54,19.96,none,1086533.76,6990.74,0.0,740.24
31,Pets & Animals,15,44.56,815.5,12.24,none,66651.9,3352.08,0.0,259.9
